,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
436,0.4940005302429199,0.00958074754056977,0.03782634735107422,0.0013218114505458881,1.0,1.5,2,5,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.8}",0.6454597372929755,0.6368932038834951,0.6364363221016562,0.6384922901199315,0.6383367603381311,0.6391236627472379,0.00326681600134924,496
437,0.4882678508758545,0.013650539057150184,0.03679623603820801,0.0010088740205761268,1.0,1.5,2,5,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 1.0}",0.6454597372929755,0.6368932038834951,0.6364363221016562,0.6384922901199315,0.6383367603381311,0.6391236627472379,0.00326681600134924,496
438,0.4708601951599121,0.004302473805360624,0.03674135208129883,0.000777991813273187,1.0,1.5,2,10,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.6}",0.6466019417475728,0.6356367789834381,0.6388349514563106,0.6406624785836664,0.6366232579392278,0.6396718817420431,0.003880299664965233,406
439,0.5209710597991943,0.027489143275701032,0.039591217041015626,0.0015322361302407576,1.0,1.5,2,10,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.8}",0.6466019417475728,0.6356367789834381,0.6388349514563106,0.6406624785836664,0.6366232579392278,0.6396718817420431,0.003880299664965233,406
440,0.5143804550170898,0.01985370226768544,0.04065947532653809,0.0034064669666926356,1.0,1.5,2,10,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 1.0}",0.6466019417475728,0.6356367789834381,0.6388349514563106,0.6406624785836664,0.6366232579392278,0.6396718817420431,0.003880299664965233,406
441,0.6336953639984131,0.04201600359682268,0.042103242874145505,0.0009531080877686606,1.0,1.5,4,1,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.6547115933752141,0.6525414049114792,0.6471730439748715,0.6518560822387207,0.648503541238291,0.6509571331477153,0.002747851605002542,286
442,0.6638053894042969,0.0336856670623535,0.043283700942993164,0.002936582458007911,1.0,1.5,4,1,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.6547115933752141,0.6525414049114792,0.6471730439748715,0.6518560822387207,0.648503541238291,0.6509571331477153,0.002747851605002542,286
443,0.6103530406951905,0.019899150966742656,0.040002059936523435,0.0016257093470046747,1.0,1.5,4,1,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",0.6547115933752141,0.6525414049114792,0.6471730439748715,0.6518560822387207,0.648503541238291,0.6509571331477153,0.002747851605002542,286
444,0.6318640232086181,0.04680261581890879,0.039342212677001956,0.001074029516101507,1.0,1.5,4,5,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6}",0.6545973729297544,0.6518560822387207,0.6458023986293546,0.6501427755568246,0.6475896732922093,0.6499976605293728,0.0030993795744077126,331
445,0.6448163986206055,0.02045062154979637,0.041836118698120116,0.00274352667660313,1.0,1.5,4,5,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8}",0.6545973729297544,0.6518560822387207,0.6458023986293546,0.6501427755568246,0.6475896732922093,0.6499976605293728,0.0030993795744077126,331
